Al Raha Beach Hotel,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",5 Star hotel,TripAdvisor: 4/5,Courtyard Room - Non refundable,"46,836","45,916",Save Rs.920,0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Sands Hotel Abu Dhabi,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",4 Star hotel,TripAdvisor: 3.5/5,Classic Room,NA,"28,361",NA,0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Millennium Hotel Abu Dhabi,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",5 Star hotel,TripAdvisor: 4.5/5,Superior Room Package,"40,365","35,202","Save Rs.5,163",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
City Seasons Al Hamra Hotel,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",4 Star hotel,TripAdvisor: 4/5,Premium Room Package,"31,148","30,054","Save Rs.1,094",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Al Diar Dana Hotel,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",2 Star hotel,TripAdvisor: 3.5/5,Junior Suite Package,"31,969","30,154","Save Rs.1,815",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Cristal Hotel Abu Dhabi,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",4 Star hotel,TripAdvisor: 4.5/5,Amber Room,"34,090","33,569",Save Rs.521,0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Al Diar Palm Hotel Apartment,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,One Bed Room Apartment Package,"38,992","36,228","Save Rs.2,764",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Century Hotel Apartment,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",NA,TripAdvisor: 3.5/5,Two Bed Room Apartment Package,"40,019","36,993","Save Rs.3,026",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Oryx Hotel,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",4 Star hotel,TripAdvisor: 3/5,Standard Room Package,"32,129","30,244","Save Rs.1,885",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Al Diar Capital Hotel,11:20  17:35,16:10  04:10,"7h 45m, 1 stop","10h 30m, 1 stop",3 Star hotel,TripAdvisor: 3/5,Deluxe Room - Room Only Package,"29,188","27,680","Save Rs.1,508",0,0,1,1,1,AE,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Abu+Dhabi&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=101509&num_rooms=1&country=AE&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Ginger Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,Smart Single Room Rate,"27,505","27,216",Save Rs.289,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Summit Hotel,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,AC Executive Room,"23,202","23,037",Save Rs.165,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Sarovar Portico Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,Standard Room,"23,501","23,287",Save Rs.214,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Ramada Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",4 Star hotel,TripAdvisor: 3.5/5,Superior Room Package,"28,503","28,154",Save Rs.349,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Hotel Chambers Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,Ecobiz Room Package,"22,008","21,509",Save Rs.499,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Tulip Inn Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,Executive Room Rates Package,"24,292","24,045",Save Rs.247,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Radisson Blu Hotel,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",5 Star hotel,TripAdvisor: 4/5,Best Available Rate - Superior Room,"34,714","34,176",Save Rs.538,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Hotel Dev Corporate,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",3 Star hotel,TripAdvisor: 3.5/5,AC Deluxe Room,"23,812","23,585",Save Rs.227,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Park Plaza Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",4 Star hotel,TripAdvisor: 4.5/5,Standard Room,"27,486","27,151",Save Rs.335,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Lemon Tree Hotel Ahmedabad,22:20  08:40,09:00  19:25,"8h 50m, 1 stop","11h 55m, 1 stop",4 Star hotel,TripAdvisor: 4/5,Standard Room Only,"25,481","25,253",Save Rs.228,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AUH&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AUH&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
