159535,Amden,Switzerland,NA
159934,Bamdun,Lebanon,NA
159535,Amden,Switzerland,NA
159535,Amden,Switzerland,NA
116113,Pitesti,Romania,NA
152384,Hanau am Main,Germany,NA
100665,Zaragoza,Spain,NA
101963,Kaprun,Austria,NA
157863,Kappl,Austria,NA
155299,Fugen,Austria,NA
100265,Auckland,New Zealand,NA
107398,Mangere,New Zealand,NA
139255,Auckland Airport,New Zealand,NA
100117,Rome,Italy,NA
157058,Mytilini,Greece,NA
116825,Conde Ixa-a-Nova,Portugal,NA
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
100908,Malaga,Spain,NA
100053,Augusta,"Georgia, United States",GA
100309,Agadir,Morocco,NA
104486,Aix En  Provence,France,NA
102799,Aachen,Germany,NA
104489,Aix Les Bains,France,NA
101686,Aguascalientes,Mexico,NA
100717,Augsburg,Germany,NA
101501,Alexandria,"Louisiana, United States",LA
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
106304,Agrigento,Italy,NA
114746,Agropoli,Italy,NA
166783,Agra,Switzerland,NA
175232,Agri,Turkey,NA
100139,Atlanta,"Georgia, United States",GA
100265,Auckland,New Zealand,NA
100137,Asheville,"North Carolina, United States",NC
100140,Atlantic City,"New Jersey, United States",NJ
100513,Ajaccio,France,NA
104580,Cap d'Ail,France,NA
109894,Hendersonville,"North Carolina, United States",NC
118040,Marshall,"Texas, United States",TX
109689,Albert Lea,"Minnesota, United States",MN
116149,Al,Norway,NA
33013,Chandigarh,"Chandigarh, India",Chandigarh
35906,Port Blair,"Andaman and Nicobar Islands, India",Andaman and Nicobar Islands
36096,Ranchi,"Jharkhand, India",Jharkhand
34881,Madurai,"Tamil Nadu, India",Tamil Nadu
34013,Jammu,"Jammu and Kashmir, India",Jammu and Kashmir
35019,Mangalore,"Karnataka, India",Karnataka
32188,Allahabad,"Uttar Pradesh, India",Uttar Pradesh
34016,Jamshedpur,"Jharkhand, India",Jharkhand
35753,Pathankot,"Punjab, India",Punjab
100182,Indianapolis,"Indiana, United States",IN
32257,Amritsar,"Punjab, India",Punjab
100139,Atlanta,"Georgia, United States",GA
100133,Albuquerque,"New Mexico, United States",NM
101687,Almaty,Kazakhstan,NA
100140,Atlantic City,"New Jersey, United States",NJ
100518,Appleton,"Wisconsin, United States",WI
101697,Watertown,"South Dakota, United States",SD
117775,Athens,"Ohio, United States",OH
114187,Anqing,China,NA
109279,Angola,"Indiana, United States",IN
33013,Chandigarh,"Chandigarh, India",Chandigarh
35906,Port Blair,"Andaman and Nicobar Islands, India",Andaman and Nicobar Islands
36096,Ranchi,"Jharkhand, India",Jharkhand
34881,Madurai,"Tamil Nadu, India",Tamil Nadu
34013,Jammu,"Jammu and Kashmir, India",Jammu and Kashmir
35019,Mangalore,"Karnataka, India",Karnataka
32188,Allahabad,"Uttar Pradesh, India",Uttar Pradesh
34016,Jamshedpur,"Jharkhand, India",Jharkhand
35753,Pathankot,"Punjab, India",Punjab
139226,Izu,Japan,NA
32550,Bangalore,"Karnataka, India",Karnataka
100110,Berlin,Germany,NA
101517,Bologna,Italy,NA
100011,Baton Rouge,"Louisiana, United States",LA
109817,Biloxi,"Mississippi, United States",MS
100728,Bloomington,"Illinois, United States",IL
100529,Bar Harbor,"Maine, United States",ME
100324,Bangor,"Maine, United States",ME
101702,Bellingham,"Washington, United States",WA
101708,Beziers,France,NA
32809,Bhopal,"Madhya Pradesh, India",Madhya Pradesh
37154,Visakhapatnam,"Andhra Pradesh, India",Andhra Pradesh
35334,Nainital,"Uttaranchal, India",Uttaranchal
32809,Bhopal,"Madhya Pradesh, India",Madhya Pradesh
32809,Bhopal,"Madhya Pradesh, India",Madhya Pradesh
32756,Bharuch,"Gujarat, India",Gujarat
148382,Ramgarh,"Uttaranchal, India",Uttaranchal
33968,Jaipur,"Rajasthan, India",Rajasthan
32131,Agra,"Uttar Pradesh, India",Uttar Pradesh
136723,Saint Herblain,France,NA
101111,Kota Kinabalu,Malaysia,NA
100143,Baltimore,"Maryland, United States",MD
100331,Boise,"Idaho, United States",ID
100731,Bari,Italy,NA
101702,Bellingham,"Washington, United States",WA
101956,Baden,Austria,NA
114401,Bay City,"Texas, United States",TX
102881,Feldkirchen,Germany,NA
101335,Bemidji,"Minnesota, United States",MN
101109,Bahia Blanca,Argentina,NA
100073,Bangkok,Thailand,NA
137986,Bang Phli,Thailand,NA
140165,Samut Prakan,Thailand,NA
100073,Bangkok,Thailand,NA
100073,Bangkok,Thailand,NA
181103,Bahadurgarh,"Haryana, India",Haryana
102415,Bahamas,Bahamas,NA
149540,Bahia de Sant Antoni,Spain,NA
101109,Bahia Blanca,Argentina,NA
116077,Baharia Oasis,Egypt,NA
155527,Bahlingen,Germany,NA
172749,Bahawalpur,Pakistan,NA
179788,Bahenec,Czech Republic,NA
171963,Bahnitz,Germany,NA
172782,Bahia Bustamante,Argentina,NA
33013,Chandigarh,"Chandigarh, India",Chandigarh
35906,Port Blair,"Andaman and Nicobar Islands, India",Andaman and Nicobar Islands
36096,Ranchi,"Jharkhand, India",Jharkhand
34881,Madurai,"Tamil Nadu, India",Tamil Nadu
34013,Jammu,"Jammu and Kashmir, India",Jammu and Kashmir
35019,Mangalore,"Karnataka, India",Karnataka
32188,Allahabad,"Uttar Pradesh, India",Uttar Pradesh
34016,Jamshedpur,"Jharkhand, India",Jharkhand
35753,Pathankot,"Punjab, India",Punjab
100599,Islamabad,Pakistan,NA
33013,Chandigarh,"Chandigarh, India",Chandigarh
35906,Port Blair,"Andaman and Nicobar Islands, India",Andaman and Nicobar Islands
36096,Ranchi,"Jharkhand, India",Jharkhand
34881,Madurai,"Tamil Nadu, India",Tamil Nadu
34013,Jammu,"Jammu and Kashmir, India",Jammu and Kashmir
35019,Mangalore,"Karnataka, India",Karnataka
32188,Allahabad,"Uttar Pradesh, India",Uttar Pradesh
34016,Jamshedpur,"Jharkhand, India",Jharkhand
35753,Pathankot,"Punjab, India",Punjab
100214,Niagara Falls,"New York, United States",NY
32815,Bhubaneswar,"Orissa, India",Orissa
32817,Bhuj,"Gujarat, India",Gujarat
172654,Bhurban,Pakistan,NA
36928,Udaipur,"Rajasthan, India",Rajasthan
37276,Haridwar,"Uttaranchal, India",Uttaranchal
35334,Nainital,"Uttaranchal, India",Uttaranchal
32815,Bhubaneswar,"Orissa, India",Orissa
34016,Jamshedpur,"Jharkhand, India",Jharkhand
34707,Kullu,"Himachal Pradesh, India",Himachal Pradesh
35760,Patiala,"Punjab, India",Punjab
32809,Bhopal,"Madhya Pradesh, India",Madhya Pradesh
32817,Bhuj,"Gujarat, India",Gujarat
32771,Bhavnagar,"Gujarat, India",Gujarat
100067,Birmingham,United Kingdom,NA
100145,Birmingham,"Alabama, United States",AL
100530,Blenheim,New Zealand,NA
110387,Wooster,"Ohio, United States",OH
132397,Phetchaburi,Thailand,NA
101109,Bahia Blanca,Argentina,NA
113187,Banda Aceh,Indonesia,NA
32903,Bodhgaya,"Bihar, India",Bihar
109623,Gaylord,"Michigan, United States",MI
138005,Gaya Island,Malaysia,NA
171244,Gaylord,"Minnesota, United States",MN
152600,Gayton,United Kingdom,NA
32903,Bodhgaya,"Bihar, India",Bihar
101119,Cairo,Egypt,NA
100187,Knoxville,"Tennessee, United States",TN
109623,Gaylord,"Michigan, United States",MI
138005,Gaya Island,Malaysia,NA
101232,Maastricht,Netherlands,NA
140259,Maanshan,China,NA
150216,Maaseik,Belgium,NA
146529,Maalaea,"Hawaii, United States",HI
150925,Maardu,Estonia,NA
159856,Maasmechelen,Belgium,NA
173005,Maasser Al Chouf,Lebanon,NA
152584,Maagan,Israel,NA
142900,Maale Hachamisha,Israel,NA
143561,Maalot - Tarshiha,Israel,NA
101166,Guatemala City,Guatemala,NA
115617,Isla Mujeres,Mexico,NA
115617,Isla Mujeres,Mexico,NA
33184,Coimbatore,"Tamil Nadu, India",Tamil Nadu
101710,Cebu,Philippines,NA
116236,Antigua Guatemala,Guatemala,NA
101528,Colombo,Sri Lanka,NA
107842,Chumphon,Thailand,NA
101120,Cochabamba,Bolivia,NA
106081,Castlebar,Ireland,NA
102606,Calama,Chile,NA
